Class,Filename,Filepath,Width,Height,FirstLevel,SecondLevel
Ind,251e46f53fc552b203300f7fbdacce57.tif,ImageSets\Ind\251e46f53fc552b203300f7fbdacce57.tif,239,197,Industrial Land,Industrial Park and Factory
Com,25d9d9b6f56f24e09fd621d0bd7223fd.tif,ImageSets\Com\25d9d9b6f56f24e09fd621d0bd7223fd.tif,351,328,Commercial Zones,Office Campus
Agr,26728985f1f27278fd0dd9e6ac2a2566.tif,ImageSets\Agr\26728985f1f27278fd0dd9e6ac2a2566.tif,2352,2320,Agriculture and Nature,Mountain
Com,26a9d7809bcfabef10587dde1db15794.tif,ImageSets\Com\26a9d7809bcfabef10587dde1db15794.tif,371,544,Commercial Zones,Office Campus
Com,26e066ac1283feddd9681005925f1af7.tif,ImageSets\Com\26e066ac1283feddd9681005925f1af7.tif,161,140,Commercial Zones,Office Campus
Pub,275fca1552f9321cfbbb9099a740813e.tif,ImageSets\Pub\275fca1552f9321cfbbb9099a740813e.tif,147,268,Public Services,Educational and Research Institutions
Pub,27868c7eede3167ad4e32e46197de4f9.tif,ImageSets\Pub\27868c7eede3167ad4e32e46197de4f9.tif,365,275,Public Services,Parks and Squares
Com,279e6164d670688842340725bb8b1069.tif,ImageSets\Com\279e6164d670688842340725bb8b1069.tif,215,201,Commercial Zones,Office Campus
Agr,27aa8f44de4b5d3cdb3e0c787923f760.tif,ImageSets\Agr\27aa8f44de4b5d3cdb3e0c787923f760.tif,980,1527,Agriculture and Nature,Farmland
Agr,27c7490a5860330b2a6c368c35023edd.tif,ImageSets\Agr\27c7490a5860330b2a6c368c35023edd.tif,202,290,Agriculture and Nature,Forestland and Grassland
Agr,2835be43f70c9af569e85a7249047b82.tif,ImageSets\Agr\2835be43f70c9af569e85a7249047b82.tif,672,468,Agriculture and Nature,Wasteland
Res,28a9833b4e1ed76bfea0debead6c4609.tif,ImageSets\Res\28a9833b4e1ed76bfea0debead6c4609.tif,155,135,Residential Districts,High-rise Residential Buildings
Res,29369208005866779f7b8bcb0d9a3475.tif,ImageSets\Res\29369208005866779f7b8bcb0d9a3475.tif,288,252,Residential Districts,Villas and High-end Residences
Res,29377b381571016dc3f3692f9a0127f3.tif,ImageSets\Res\29377b381571016dc3f3692f9a0127f3.tif,203,191,Residential Districts,High-rise Residential Buildings
Pub,299007d7dd1ea136d721d5ba1c6b4c31.tif,ImageSets\Pub\299007d7dd1ea136d721d5ba1c6b4c31.tif,341,211,Public Services,Educational and Research Institutions
Com,2a6aec8c8cee349a5efa4d0cf2f02fa8.tif,ImageSets\Com\2a6aec8c8cee349a5efa4d0cf2f02fa8.tif,117,135,Commercial Zones,Shopping Center and Commercial Street
Pub,2a8cf5b92d86203802b96e3982d3eaf2.tif,ImageSets\Pub\2a8cf5b92d86203802b96e3982d3eaf2.tif,398,413,Public Services,Educational and Research Institutions
Com,2a91768e256f108d4e83d8256ac868bc.tif,ImageSets\Com\2a91768e256f108d4e83d8256ac868bc.tif,291,226,Commercial Zones,Office Campus
Pub,2a957c0c3f63a68daca0669d2f0e84c7.tif,ImageSets\Pub\2a957c0c3f63a68daca0669d2f0e84c7.tif,179,126,Public Services,Educational and Research Institutions
Com,2b04df2adb325fd95cad40f306c45b57.tif,ImageSets\Com\2b04df2adb325fd95cad40f306c45b57.tif,283,197,Commercial Zones,Office Campus
Ind,2b3565671695f36773c8d9112b18a60b.tif,ImageSets\Ind\2b3565671695f36773c8d9112b18a60b.tif,297,180,Industrial Land,Industrial Park and Factory
Res,2b472b37eb659cd5a357b64df8eb8f7c.tif,ImageSets\Res\2b472b37eb659cd5a357b64df8eb8f7c.tif,188,304,Residential Districts,High-rise Residential Buildings
Agr,2ba121106571bdb50c505433983ddfc6.tif,ImageSets\Agr\2ba121106571bdb50c505433983ddfc6.tif,174,377,Agriculture and Nature,Farmland
Com,2c1b438259868bfa3378398609ec8417.tif,ImageSets\Com\2c1b438259868bfa3378398609ec8417.tif,71,65,Commercial Zones,Commercial Market
Com,2c5e4c95a664f66b33738f5f9eb41c0f.tif,ImageSets\Com\2c5e4c95a664f66b33738f5f9eb41c0f.tif,301,254,Commercial Zones,Office Campus
Res,2c8ea75b546115ae095c7c8d299aa290.tif,ImageSets\Res\2c8ea75b546115ae095c7c8d299aa290.tif,136,103,Residential Districts,Urban Villages
Ind,2cfd08f342f8564d084b7f613ac419ae.tif,ImageSets\Ind\2cfd08f342f8564d084b7f613ac419ae.tif,240,302,Industrial Land,Industrial Park and Factory
Agr,2d0bdce1660dd2c703bc7c8f244fffe7.tif,ImageSets\Agr\2d0bdce1660dd2c703bc7c8f244fffe7.tif,278,278,Agriculture and Nature,Water
Com,2d550cad44048a7a00fcf9af5d6e729d.tif,ImageSets\Com\2d550cad44048a7a00fcf9af5d6e729d.tif,303,185,Commercial Zones,Office Campus
Agr,2d5a3a8ca296de885d771715d6da79c3.tif,ImageSets\Agr\2d5a3a8ca296de885d771715d6da79c3.tif,319,618,Agriculture and Nature,Farmland
Agr,2da96280337650de90a56a99021d88a2.tif,ImageSets\Agr\2da96280337650de90a56a99021d88a2.tif,118,272,Agriculture and Nature,Forestland and Grassland
Pub,2daf7454bd0cd386009e3f78bc785d84.tif,ImageSets\Pub\2daf7454bd0cd386009e3f78bc785d84.tif,1018,1042,Public Services,Parks and Squares
Com,2e0f22bc5df93cfcfb5678a6a0f6363e.tif,ImageSets\Com\2e0f22bc5df93cfcfb5678a6a0f6363e.tif,264,119,Commercial Zones,Office Campus
Pub,2e96d2a8fa1f59655cc3e245e3fd7fd1.tif,ImageSets\Pub\2e96d2a8fa1f59655cc3e245e3fd7fd1.tif,393,217,Public Services,Educational and Research Institutions
Res,2ec57d7130743c2fb48f5c36b8efb9fa.tif,ImageSets\Res\2ec57d7130743c2fb48f5c36b8efb9fa.tif,156,106,Residential Districts,High-rise Residential Buildings
Pub,2f2c5d6e4a9cc9cdc72929250587bc4b.tif,ImageSets\Pub\2f2c5d6e4a9cc9cdc72929250587bc4b.tif,319,259,Public Services,Educational and Research Institutions
Res,2f5f7c8dfd570b755087a6f0128efbbe.tif,ImageSets\Res\2f5f7c8dfd570b755087a6f0128efbbe.tif,104,140,Residential Districts,High-rise Residential Buildings
Ind,2fce64fec9a2a869c32597bb919df8b1.tif,ImageSets\Ind\2fce64fec9a2a869c32597bb919df8b1.tif,257,434,Industrial Land,Industrial Park and Factory
Com,2fdbde894fb43378b93f5d218ad1694e.tif,ImageSets\Com\2fdbde894fb43378b93f5d218ad1694e.tif,201,105,Commercial Zones,Shopping Center and Commercial Street
Pub,3000ba2607719d111c0ea1ccfc1ef868.tif,ImageSets\Pub\3000ba2607719d111c0ea1ccfc1ef868.tif,190,187,Public Services,Educational and Research Institutions
Agr,3027a8e7c8b7d6400c2af1a770f4532b.tif,ImageSets\Agr\3027a8e7c8b7d6400c2af1a770f4532b.tif,209,124,Agriculture and Nature,Forestland and Grassland
Com,303a72248ea2c2157510ea95a6b27d4f.tif,ImageSets\Com\303a72248ea2c2157510ea95a6b27d4f.tif,215,159,Commercial Zones,Office Campus
Com,3040e3b42b84f41159b510ce65a67767.tif,ImageSets\Com\3040e3b42b84f41159b510ce65a67767.tif,97,118,Commercial Zones,Shopping Center and Commercial Street
Agr,3076e4c5da09d574588c251e7d9cba88.tif,ImageSets\Agr\3076e4c5da09d574588c251e7d9cba88.tif,189,190,Agriculture and Nature,Mountain
Com,31458bf48d7e314442a438c77b46e978.tif,ImageSets\Com\31458bf48d7e314442a438c77b46e978.tif,352,355,Commercial Zones,Office Campus
Ind,31d71062f3d96f98f0b8bdd15386b7e5.tif,ImageSets\Ind\31d71062f3d96f98f0b8bdd15386b7e5.tif,333,340,Industrial Land,Construction Site
Pub,32286c2de13d2927b264a67b786ff0e5.tif,ImageSets\Pub\32286c2de13d2927b264a67b786ff0e5.tif,201,139,Public Services,Educational and Research Institutions
Agr,322aa9600a19ab5514e2f5592c9adeef.tif,ImageSets\Agr\322aa9600a19ab5514e2f5592c9adeef.tif,236,117,Agriculture and Nature,Farmland
Res,32c9936f6a94979a510e29012126661b.tif,ImageSets\Res\32c9936f6a94979a510e29012126661b.tif,123,206,Residential Districts,High-rise Residential Buildings
Ind,32d86ce255b6c4822b594497b8e18719.tif,ImageSets\Ind\32d86ce255b6c4822b594497b8e18719.tif,345,396,Industrial Land,Industrial Park and Factory
Pub,32f4bd3f8f82010fe90b53f90c28103c.tif,ImageSets\Pub\32f4bd3f8f82010fe90b53f90c28103c.tif,237,207,Public Services,Non-profit Public Institutions(Museum; Stadium; Hospital)
Ind,333f16fbf00ea6a7f16f51e7e17fe2a6.tif,ImageSets\Ind\333f16fbf00ea6a7f16f51e7e17fe2a6.tif,442,241,Industrial Land,Industrial Park and Factory
Agr,3371262f59faa5e1bbe09967371db550.tif,ImageSets\Agr\3371262f59faa5e1bbe09967371db550.tif,366,372,Agriculture and Nature,Wasteland
Pub,34777439c77a16a835a4028afc03e3a0.tif,ImageSets\Pub\34777439c77a16a835a4028afc03e3a0.tif,294,279,Public Services,Educational and Research Institutions
Ind,348b2a219301436b1264f3d44115f2b1.tif,ImageSets\Ind\348b2a219301436b1264f3d44115f2b1.tif,166,200,Industrial Land,Industrial Park and Factory
Res,34c9b35a5e4f84a82fed9ec71e5888b7.tif,ImageSets\Res\34c9b35a5e4f84a82fed9ec71e5888b7.tif,178,156,Residential Districts,High-rise Residential Buildings
Res,34e441c44ca2f77d0f0ed4171a228348.tif,ImageSets\Res\34e441c44ca2f77d0f0ed4171a228348.tif,146,138,Residential Districts,Urban Villages
Res,3595e00f27ef700feb9796206e1a6ef9.tif,ImageSets\Res\3595e00f27ef700feb9796206e1a6ef9.tif,149,133,Residential Districts,Urban Villages
Agr,35d2ff2352b723e9a5f531a80fe431ab.tif,ImageSets\Agr\35d2ff2352b723e9a5f531a80fe431ab.tif,244,247,Agriculture and Nature,Forestland and Grassland
Ind,3603aca48e5849aa12b29faef9a72766.tif,ImageSets\Ind\3603aca48e5849aa12b29faef9a72766.tif,145,121,Industrial Land,Construction Site
Agr,363f14486a2b2a251f89d61e72716988.tif,ImageSets\Agr\363f14486a2b2a251f89d61e72716988.tif,172,147,Agriculture and Nature,Wasteland
Ind,36432e1c2097e38fab9bca2ce9b92f98.tif,ImageSets\Ind\36432e1c2097e38fab9bca2ce9b92f98.tif,201,256,Industrial Land,Industrial Park and Factory
Res,36464b092875352b4aa7e6684e6ab1e5.tif,ImageSets\Res\36464b092875352b4aa7e6684e6ab1e5.tif,283,158,Residential Districts,Urban Villages
Ind,366423c729291207da0bdff06c586a3c.tif,ImageSets\Ind\366423c729291207da0bdff06c586a3c.tif,259,201,Industrial Land,Industrial Park and Factory
Ind,368cf253652c1111fe86aa79824fc94b.tif,ImageSets\Ind\368cf253652c1111fe86aa79824fc94b.tif,326,328,Industrial Land,Industrial Park and Factory
Com,36a9ea1c8e61d9f15b11b9c33c6df3bf.tif,ImageSets\Com\36a9ea1c8e61d9f15b11b9c33c6df3bf.tif,140,187,Commercial Zones,Shopping Center and Commercial Street
Pub,370e30d06448c38743ddacfa288d2d9f.tif,ImageSets\Pub\370e30d06448c38743ddacfa288d2d9f.tif,253,166,Public Services,Educational and Research Institutions
Agr,374463e511690a1f2070d88417ef9667.tif,ImageSets\Agr\374463e511690a1f2070d88417ef9667.tif,405,214,Agriculture and Nature,Farmland
Com,37494bdc16a668f9d7e179c03c020eba.tif,ImageSets\Com\37494bdc16a668f9d7e179c03c020eba.tif,208,264,Commercial Zones,Office Campus
Pub,3780dc9ec8b87851af4ef2a27b55a256.tif,ImageSets\Pub\3780dc9ec8b87851af4ef2a27b55a256.tif,441,342,Public Services,Parks and Squares
Res,378e6e857381d7324f78f4772134cfee.tif,ImageSets\Res\378e6e857381d7324f78f4772134cfee.tif,358,162,Residential Districts,High-rise Residential Buildings
Ind,37a281e76a55cce30f7a603f06f414b6.tif,ImageSets\Ind\37a281e76a55cce30f7a603f06f414b6.tif,357,223,Industrial Land,Industrial Park and Factory
Res,3801fad1fb1e1d63d4e5eccec0c30f43.tif,ImageSets\Res\3801fad1fb1e1d63d4e5eccec0c30f43.tif,200,219,Residential Districts,High-rise Residential Buildings
Ind,38327327af7d7e6f557094ae97738793.tif,ImageSets\Ind\38327327af7d7e6f557094ae97738793.tif,135,110,Industrial Land,Industrial Park and Factory
Ind,38c6bf6b46621e959fd4f28a7d4b2091.tif,ImageSets\Ind\38c6bf6b46621e959fd4f28a7d4b2091.tif,222,167,Industrial Land,Industrial Park and Factory
Res,39893624f0df44bddf0a0995835432a5.tif,ImageSets\Res\39893624f0df44bddf0a0995835432a5.tif,158,212,Residential Districts,High-rise Residential Buildings
Res,399978e57fc3b3308f8ad433a1a1e3f1.tif,ImageSets\Res\399978e57fc3b3308f8ad433a1a1e3f1.tif,192,166,Residential Districts,High-rise Residential Buildings
Com,3a6abf8ee2e79794a38cdbcef67ec675.tif,ImageSets\Com\3a6abf8ee2e79794a38cdbcef67ec675.tif,244,201,Commercial Zones,Business Tower
Res,3aabe8789a5400976ece3ff79f0c0b32.tif,ImageSets\Res\3aabe8789a5400976ece3ff79f0c0b32.tif,152,119,Residential Districts,High-rise Residential Buildings
Com,3aeec1ef9cd6bd2f79eb5576c536916d.tif,ImageSets\Com\3aeec1ef9cd6bd2f79eb5576c536916d.tif,124,138,Commercial Zones,Shopping Center and Commercial Street
Res,3af8e15cf40527c22ad519146f47019a.tif,ImageSets\Res\3af8e15cf40527c22ad519146f47019a.tif,143,146,Residential Districts,High-rise Residential Buildings
Res,3b26f7c821aa6ffbb9095213ddccc20b.tif,ImageSets\Res\3b26f7c821aa6ffbb9095213ddccc20b.tif,471,190,Residential Districts,High-rise Residential Buildings
Pub,3b3461fcdcccdb061d15a004b888f2c0.tif,ImageSets\Pub\3b3461fcdcccdb061d15a004b888f2c0.tif,150,129,Public Services,Educational and Research Institutions
Agr,3b40b7a1e1ee5ee56c4b8921ecb38d31.tif,ImageSets\Agr\3b40b7a1e1ee5ee56c4b8921ecb38d31.tif,154,148,Agriculture and Nature,Farmland
Res,3b66f9166c8c82e29de1d82d439cc2be.tif,ImageSets\Res\3b66f9166c8c82e29de1d82d439cc2be.tif,346,402,Residential Districts,High-rise Residential Buildings
Com,3bae7754b1d6cd0ba27227dd4d9ce302.tif,ImageSets\Com\3bae7754b1d6cd0ba27227dd4d9ce302.tif,160,244,Commercial Zones,Office Campus
Com,3bbbd9e7e3bef7390c4a50d3795da27f.tif,ImageSets\Com\3bbbd9e7e3bef7390c4a50d3795da27f.tif,208,157,Commercial Zones,Shopping Center and Commercial Street
Pub,3bf1f02e40a8b9da29c780149d469204.tif,ImageSets\Pub\3bf1f02e40a8b9da29c780149d469204.tif,294,139,Public Services,Parks and Squares
Res,3c3979a464f4d4e278b4bbbdb206eb6d.tif,ImageSets\Res\3c3979a464f4d4e278b4bbbdb206eb6d.tif,570,203,Residential Districts,High-rise Residential Buildings
Com,3c6f8cc663694d1f8b5c8ff7115119fc.tif,ImageSets\Com\3c6f8cc663694d1f8b5c8ff7115119fc.tif,156,142,Commercial Zones,Office Campus
Com,3cac5449d1f1f74becaca670f63395fb.tif,ImageSets\Com\3cac5449d1f1f74becaca670f63395fb.tif,265,272,Commercial Zones,Office Campus
Pub,3d0d5e77a95f03dd23a237a60c5feb2d.tif,ImageSets\Pub\3d0d5e77a95f03dd23a237a60c5feb2d.tif,243,259,Public Services,Educational and Research Institutions
Res,3d5dd365c2bff11aed0658cee4bf3244.tif,ImageSets\Res\3d5dd365c2bff11aed0658cee4bf3244.tif,225,263,Residential Districts,Rural Homestead
Com,3df33f6bbe9bfafdc4d44cb87166e5ec.tif,ImageSets\Com\3df33f6bbe9bfafdc4d44cb87166e5ec.tif,231,175,Commercial Zones,Office Campus
Pub,3e59388a6c44d6275fa62edeed28edd9.tif,ImageSets\Pub\3e59388a6c44d6275fa62edeed28edd9.tif,750,1124,Public Services,Parks and Squares
Com,3e99729739224729de52a91cce256cd4.tif,ImageSets\Com\3e99729739224729de52a91cce256cd4.tif,174,165,Commercial Zones,Business Tower
Agr,3eb4c10b3c53afbf7aaef7c067f4c841.tif,ImageSets\Agr\3eb4c10b3c53afbf7aaef7c067f4c841.tif,1779,528,Agriculture and Nature,Farmland
Com,3eba502dc505a1747e1daae6962cf91c.tif,ImageSets\Com\3eba502dc505a1747e1daae6962cf91c.tif,159,206,Commercial Zones,Office Campus
Pub,3f0b4f1837a361e3e9527f1087fabe5c.tif,ImageSets\Pub\3f0b4f1837a361e3e9527f1087fabe5c.tif,131,180,Public Services,Parks and Squares
Ind,3f79726ee3f5fc47b7c26e06fd8e93bb.tif,ImageSets\Ind\3f79726ee3f5fc47b7c26e06fd8e93bb.tif,348,387,Industrial Land,Industrial Park and Factory
Ind,3f98244449fc42466f9abec4fc3a38ae.tif,ImageSets\Ind\3f98244449fc42466f9abec4fc3a38ae.tif,328,360,Industrial Land,Industrial Park and Factory
Res,401490bdd5becb9f654e5f63e020bf1d.tif,ImageSets\Res\401490bdd5becb9f654e5f63e020bf1d.tif,112,174,Residential Districts,High-rise Residential Buildings
Agr,406aa87ecc12e5bb782c782aae72103c.tif,ImageSets\Agr\406aa87ecc12e5bb782c782aae72103c.tif,651,1209,Agriculture and Nature,Mountain
Pub,411ffb0286c51a72af356bae7f76bd18.tif,ImageSets\Pub\411ffb0286c51a72af356bae7f76bd18.tif,171,181,Public Services,Parks and Squares
Agr,418cf4963556c2486368a56661327293.tif,ImageSets\Agr\418cf4963556c2486368a56661327293.tif,1005,1506,Agriculture and Nature,Mountain
Com,41c6c5a599f3ea238a214ce3996cf97b.tif,ImageSets\Com\41c6c5a599f3ea238a214ce3996cf97b.tif,248,130,Commercial Zones,Commercial Market
Com,4211b171bee6b64b7762fc4c5944aa21.tif,ImageSets\Com\4211b171bee6b64b7762fc4c5944aa21.tif,136,189,Commercial Zones,Office Campus
Res,4232d4b1ab62d5378af4e86c5403d4cb.tif,ImageSets\Res\4232d4b1ab62d5378af4e86c5403d4cb.tif,108,110,Residential Districts,Urban Villages
Pub,4289c1b49d35adc34b934f0383e6006d.tif,ImageSets\Pub\4289c1b49d35adc34b934f0383e6006d.tif,270,241,Public Services,Educational and Research Institutions
Ind,42a42a3678234492caca2f424c47d196.tif,ImageSets\Ind\42a42a3678234492caca2f424c47d196.tif,189,118,Industrial Land,Construction Site
Com,4330cfc24c8a1a8369a4957108cd5dbb.tif,ImageSets\Com\4330cfc24c8a1a8369a4957108cd5dbb.tif,228,225,Commercial Zones,Office Campus
Res,434045367fd6a5b5309cbd9ee927568e.tif,ImageSets\Res\434045367fd6a5b5309cbd9ee927568e.tif,226,118,Residential Districts,Villas and High-end Residences
Pub,4392992911fa34481e51c24caaef4bb2.tif,ImageSets\Pub\4392992911fa34481e51c24caaef4bb2.tif,180,200,Public Services,Parks and Squares
Ind,439d61ec1941f2e8ae2f292bb83bb5a7.tif,ImageSets\Ind\439d61ec1941f2e8ae2f292bb83bb5a7.tif,176,145,Industrial Land,Industrial Park and Factory
Ind,43a99ebbeb6cbe19c20961c6788d81d6.tif,ImageSets\Ind\43a99ebbeb6cbe19c20961c6788d81d6.tif,192,130,Industrial Land,Industrial Park and Factory
Agr,43d3eeb447640c4ed8344f26252c9469.tif,ImageSets\Agr\43d3eeb447640c4ed8344f26252c9469.tif,659,1005,Agriculture and Nature,Mountain
Agr,43f1880fbfb757a986ee63ca7bc2a989.tif,ImageSets\Agr\43f1880fbfb757a986ee63ca7bc2a989.tif,349,201,Agriculture and Nature,Wasteland
Ind,43f6d9a7fc38ff382db67987e1f4fdde.tif,ImageSets\Ind\43f6d9a7fc38ff382db67987e1f4fdde.tif,307,266,Industrial Land,Industrial Park and Factory
Com,44618ae481fa5e5956096511440f05af.tif,ImageSets\Com\44618ae481fa5e5956096511440f05af.tif,242,234,Commercial Zones,Office Campus
Res,446ff84d8b41cc407adc0c4ea6416a4d.tif,ImageSets\Res\446ff84d8b41cc407adc0c4ea6416a4d.tif,195,149,Residential Districts,Villas and High-end Residences
Ind,4479f450b55759b33918724074e5335a.tif,ImageSets\Ind\4479f450b55759b33918724074e5335a.tif,323,320,Industrial Land,Industrial Park and Factory
Com,447afaaf966eb93430d7c802930f30bd.tif,ImageSets\Com\447afaaf966eb93430d7c802930f30bd.tif,140,198,Commercial Zones,Office Campus
Com,44bfdc8cc9444f7c1fa4309c8b272f82.tif,ImageSets\Com\44bfdc8cc9444f7c1fa4309c8b272f82.tif,1587,1023,Commercial Zones,Commercial Entertainment
Res,44ca3329f9e38b5e5ed3959546918737.tif,ImageSets\Res\44ca3329f9e38b5e5ed3959546918737.tif,185,196,Residential Districts,High-rise Residential Buildings
Com,44e9353c8f9d02a1aa0cb60abc3cdb94.tif,ImageSets\Com\44e9353c8f9d02a1aa0cb60abc3cdb94.tif,333,280,Commercial Zones,Office Campus
Agr,44edbac7b8d86a8749b0d5853ac9358b.tif,ImageSets\Agr\44edbac7b8d86a8749b0d5853ac9358b.tif,465,193,Agriculture and Nature,Farmland
Res,454549346267453156cfbe622ad0518e.tif,ImageSets\Res\454549346267453156cfbe622ad0518e.tif,136,230,Residential Districts,High-rise Residential Buildings
Pub,45628bef597cc7ecd6483a311eba0259.tif,ImageSets\Pub\45628bef597cc7ecd6483a311eba0259.tif,108,125,Public Services,Educational and Research Institutions
Res,45c241d0c02d6e31d321f7648e2fe5c6.tif,ImageSets\Res\45c241d0c02d6e31d321f7648e2fe5c6.tif,144,302,Residential Districts,High-rise Residential Buildings
Agr,45cb07e9875cab674f6293363f20aad6.tif,ImageSets\Agr\45cb07e9875cab674f6293363f20aad6.tif,83,102,Agriculture and Nature,Farmland
Ind,45e1052f89067e21c15b6a3936313754.tif,ImageSets\Ind\45e1052f89067e21c15b6a3936313754.tif,215,230,Industrial Land,Industrial Park and Factory
Ind,45f39ed422238aa0e2ca2f90d2443677.tif,ImageSets\Ind\45f39ed422238aa0e2ca2f90d2443677.tif,313,293,Industrial Land,Industrial Park and Factory
Ind,469090c043f55654106ff91714dc65d7.tif,ImageSets\Ind\469090c043f55654106ff91714dc65d7.tif,253,321,Industrial Land,Industrial Park and Factory
Res,46c3d23fff31bc511bc98d8cd6c27129.tif,ImageSets\Res\46c3d23fff31bc511bc98d8cd6c27129.tif,133,132,Residential Districts,High-rise Residential Buildings
Agr,46d4983769f08ebf21240ee76cf7bfc2.tif,ImageSets\Agr\46d4983769f08ebf21240ee76cf7bfc2.tif,215,206,Agriculture and Nature,Mountain
Pub,4742ea8e58a03764680b124279f4d8bc.tif,ImageSets\Pub\4742ea8e58a03764680b124279f4d8bc.tif,149,317,Public Services,Parks and Squares
Res,4892d0e975895a1a1202f69965a1e451.tif,ImageSets\Res\4892d0e975895a1a1202f69965a1e451.tif,266,155,Residential Districts,High-rise Residential Buildings
Agr,489891b556d2289880f04ed96b4ea9ae.tif,ImageSets\Agr\489891b556d2289880f04ed96b4ea9ae.tif,979,873,Agriculture and Nature,Farmland
Agr,49c44b83e51332e361d60fcc20ef965b.tif,ImageSets\Agr\49c44b83e51332e361d60fcc20ef965b.tif,202,204,Agriculture and Nature,Farmland
Agr,49e846ef973b96aa5e1c328c43d53f5c.tif,ImageSets\Agr\49e846ef973b96aa5e1c328c43d53f5c.tif,337,432,Agriculture and Nature,Mountain
Com,4a551c08737723249fac83f8bb56194f.tif,ImageSets\Com\4a551c08737723249fac83f8bb56194f.tif,233,183,Commercial Zones,Office Campus
Res,4a5943e86532acb32e696ad8c4cb6ad8.tif,ImageSets\Res\4a5943e86532acb32e696ad8c4cb6ad8.tif,454,313,Residential Districts,High-rise Residential Buildings
Ind,4a77f5a1633719e97b8cbde859b4df36.tif,ImageSets\Ind\4a77f5a1633719e97b8cbde859b4df36.tif,294,248,Industrial Land,Industrial Park and Factory
Ind,4ab669341041a81a0898790a48352f28.tif,ImageSets\Ind\4ab669341041a81a0898790a48352f28.tif,334,319,Industrial Land,Industrial Park and Factory
Res,4adae3b895913d3f5300026a67401953.tif,ImageSets\Res\4adae3b895913d3f5300026a67401953.tif,329,310,Residential Districts,High-rise Residential Buildings
Pub,4b28b202050eb3f25ab6aff0afa77dbf.tif,ImageSets\Pub\4b28b202050eb3f25ab6aff0afa77dbf.tif,305,314,Public Services,Educational and Research Institutions
Ind,4b482e83ad66b926eaaa2a325d6a4b0c.tif,ImageSets\Ind\4b482e83ad66b926eaaa2a325d6a4b0c.tif,165,170,Industrial Land,Industrial Park and Factory
Ind,4b58aff19466f76c6d1eb447c7b1326f.tif,ImageSets\Ind\4b58aff19466f76c6d1eb447c7b1326f.tif,269,403,Industrial Land,Industrial Park and Factory
Ind,4bbe78ae07739c8e1ffd906eb9b750c2.tif,ImageSets\Ind\4bbe78ae07739c8e1ffd906eb9b750c2.tif,420,286,Industrial Land,Industrial Park and Factory
Ind,4bff4edfeae3ca0d02daf4c6c2ef23e1.tif,ImageSets\Ind\4bff4edfeae3ca0d02daf4c6c2ef23e1.tif,282,380,Industrial Land,Industrial Park and Factory
Com,4cbbdf09102bcc4b82442ff16c81d09b.tif,ImageSets\Com\4cbbdf09102bcc4b82442ff16c81d09b.tif,130,233,Commercial Zones,Office Campus
Pub,4cd0204b19f355a99615f2a920ffb642.tif,ImageSets\Pub\4cd0204b19f355a99615f2a920ffb642.tif,308,255,Public Services,Parks and Squares
Agr,4ced6e4cd471e6896a8944ce41eb63cc.tif,ImageSets\Agr\4ced6e4cd471e6896a8944ce41eb63cc.tif,1287,3033,Agriculture and Nature,Mountain
Com,4d15796bddbc77f34e0e8a1067e3777b.tif,ImageSets\Com\4d15796bddbc77f34e0e8a1067e3777b.tif,126,142,Commercial Zones,Business Tower
Agr,4da684e958aa2614a263230dd1fe0b27.tif,ImageSets\Agr\4da684e958aa2614a263230dd1fe0b27.tif,510,664,Agriculture and Nature,Farmland
Ind,4df65b62019b4aa965d0aa45507bad0d.tif,ImageSets\Ind\4df65b62019b4aa965d0aa45507bad0d.tif,811,541,Industrial Land,Industrial Park and Factory
Ind,4e00f8a5b1e00589226a52c8d19268d2.tif,ImageSets\Ind\4e00f8a5b1e00589226a52c8d19268d2.tif,166,213,Industrial Land,Industrial Park and Factory
Agr,4e4c5a3bd2589c3e7cfe13f72e44af52.tif,ImageSets\Agr\4e4c5a3bd2589c3e7cfe13f72e44af52.tif,213,229,Agriculture and Nature,Forestland and Grassland
Pub,4ec172ec84f7308ccfbc41f39288c19b.tif,ImageSets\Pub\4ec172ec84f7308ccfbc41f39288c19b.tif,150,232,Public Services,Educational and Research Institutions
Ind,4f29d74f87e5ae6d82412673e245955a.tif,ImageSets\Ind\4f29d74f87e5ae6d82412673e245955a.tif,296,241,Industrial Land,Industrial Park and Factory
Ind,4f59b6400c230f09fbffa697ff5f12fa.tif,ImageSets\Ind\4f59b6400c230f09fbffa697ff5f12fa.tif,459,448,Industrial Land,Industrial Park and Factory
Pub,4f9695bc2854ced74b36b60da5f67e79.tif,ImageSets\Pub\4f9695bc2854ced74b36b60da5f67e79.tif,115,138,Public Services,Educational and Research Institutions
Pub,4f9a732b23dcf676d963cd520a3b4847.tif,ImageSets\Pub\4f9a732b23dcf676d963cd520a3b4847.tif,153,182,Public Services,Educational and Research Institutions
Pub,4fd5a26e8e37c0cac2a8ed8f83d4547b.tif,ImageSets\Pub\4fd5a26e8e37c0cac2a8ed8f83d4547b.tif,246,246,Public Services,Educational and Research Institutions
Com,4ff6fb0cc3e957cab39bf2356c4fd2c7.tif,ImageSets\Com\4ff6fb0cc3e957cab39bf2356c4fd2c7.tif,162,104,Commercial Zones,Business Tower
Com,5033ecfbc4e6c781a88a38be335cb853.tif,ImageSets\Com\5033ecfbc4e6c781a88a38be335cb853.tif,335,189,Commercial Zones,Office Campus
